ARIAL SDF	Fonts & Materials/ARIAL SDF
Research/ElectroShockMachineLevel1_Name	업그레이드 : 충격 클리닉
Research/ElectroShockMachineLevel2_CompleteMessage	좋은 소식! 우리 연구원들은 전기를 위해 "더 세게"라고 부르는 장비를 설계했습니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 시스템에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/ElectroShockMachineLevel2_Description	우리는 Electroshock 치료를 최적화하는 데 매우 가깝다고 생각합니다.
Research/ElectroShockMachineLevel2_Name	고급 업그레이드 : 충격 클리닉
Research/EthicalResearch_CompleteMessage	광범위한 야채 및 미네랄 테스트를 거친 후 연구원들은 더 넓은 커뮤니티에 데이터를 게시했습니다. 솔직히 말해서 꽤 지루한 일이지만 우리의 평판을 향상시켜야합니다.
Research/EthicalResearch_Description	관리인에게 모든 신약과 장비를 테스트하는 대신 야채와 미네랄에 대한 테스트를 수행하십시오. 우리의 평판을 향상시키는 데 도움이될 것입니다.
Research/EthicalResearch_Name	윤리적 연구
Research/FluidAnalysisMachineLevel1_CompleteMessage	좋은 소식. 이제 혈액 분석 장비를 업그레이드하여 더 순수하고 유용한 혈액 샘플을 얻을 수 있습니다.\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/FluidAnalysisMachineLevel1_Description	우리는 더 높은 품질의 샘플을 얻기 위해 우리의 디자인을 개선할 수 있다고 믿습니다.
Research/FluidAnalysisMachineLevel1_Name	업그레이드 : 혈액 분석
Research/FluidAnalysisMachineLevel2_CompleteMessage	원심 분리기를 개발했습니다! 이제 더 자세한 형태의 미세 분석을 수행할 수 있습니다. 장비를 통해 샘플을 빠르게 발사하는 것이 포함되지만, 그것에 대해 생각하지 않는 것이 가장 좋습니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/FluidAnalysisMachineLevel2_Description	혈액 샘플을 더 잘 분석하는 방법을 탐색하십시오.
Research/FluidAnalysisMachineLevel2_Name	고급 업그레이드 : 혈액 분석
Research/FluidAnalysisRoom_CompleteMessage	연구팀은 최대 통증을 유발하면서 환자의 체액을 추출하는 이상적인 장비를 설계했습니다. 우수한.
Research/FluidAnalysisRoom_Description	환자로부터 다양한 체액을 추출하는 장비를 설계하십시오. 주로 진단 목적으로. 하지만 재미로 도요.
Research/FluidAnalysisRoom_Name	체혈·분석실
Research/FrogMachineLevel1_CompleteMessage	좋은 소식. 새로운 수정으로 임신 기간은 훨씬 더 안정적입니다. 아 그리고 우리는 컨베이어 벨트로 이상한 것을 고쳤습니다. 이제 덜 이상하지 않습니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/FrogMachineLevel1_Description	우리는 Frogborne 장비를 개선할 수 있다고 생각합니다.
Research/FrogMachineLevel1_Name	업그레이드 : 두꺼비 홀
Research/FrogMachineLevel2_CompleteMessage	이 최신 업데이트는 우리 장비를 개구리 변신 커뮤니티의 부러움으로 바꿀 것입니다. 커뮤니티가 아닐 수도 있습니다 ...하지만 만약 그렇다면, 그들은 부러워할 것입니다.\n\n당신은 이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/FrogMachineLevel2_Description	우리는 Frogborne의 치료를 완벽하게 처리했습니다. IT 책임자를 살펴 보겠습니다.
Research/FrogMachineLevel2_Name	고급 업그레이드 : 두꺼비 홀
Research/GeneralDiagnosisMachineLevel1_CompleteMessage	좋은 소식! 일부 성공적인 프로토 타입은 더 나은 결과를 위해 일반 진단실 장비를 개선할 수 있음을 시사합니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 시스템에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/GeneralDiagnosisMachineLevel1_Description	우리는 진단 장비가 일반적으로 더 좋을 수 있다고 믿습니다.
Research/GeneralDiagnosisMachineLevel1_Name	업그레이드 : 일반 진단실
Research/GeneralDiagnosisMachineLevel2_CompleteMessage	그들은 그것을 깨뜨 렸습니다. 이제 우리는 가장 심층적 인 진단 장비를위한 설계를 가지고 있습니다!\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/GeneralDiagnosisMachineLevel2_Description	가장 기본적인 진단 장비를 더욱 혁신하는 모호한 수단을 연구하십시오.
Research/GeneralDiagnosisMachineLevel2_Name	고급 업그레이드 : 일반 진단실
Research/GeneralResearch_CompleteMessage	'사물'에 대한 일반적인 연구를 완료했습니다. 보조금을 받으세요!
Research/GeneralResearch_Description	병원에 돈을 벌기위한 일반 조사.
Research/GeneralResearch_Name	일반 연구
Research/General_Complete_Advisor	연구 프로젝트 완료!\n보상 : {[REWARD]}
Research/InjectionMachineLevel1_CompleteMessage	환자의 불안이 우리 치료의 효과를 약화시킨 것 같습니다. 큰 바늘이겠군요 우리 연구원들은 바늘을 통해 약한 진정제를 분비하는 기술을 개발했습니다. 도움이될 것입니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 시스템에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/InjectionMachineLevel1_Description	주사 치료의 효과에 대한 스트레스의 영향을 조사하십시오.
Research/InjectionMachineLevel1_Name	업그레이드 : 주사실
Research/InjectionMachineLevel2_CompleteMessage	예! 우리는 보조 화학 물질을 치료에 부착하여 신체 주위를 더 빠르게 처리하여 효율성을 높이는 모델을 설계했습니다.\n\n관리인이 이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다. 기계공학에서 자격이 있습니다.
Research/InjectionMachineLevel2_Description	우수한 주사 혼합물을 연구하십시오.
Research/InjectionMachineLevel2_Name	고급 업그레이드 : 주사실
Research/InjectionRoom_CompleteMessage	연구팀은 새로운 장비를 설계했습니다. 주사기는 거대하지만 걱정하지 마세요. 환자가 오는 것을 보지 못할 것입니다. 이를 통해 다양한 질병을 치료할 수 있습니다.
Research/InjectionRoom_Description	환자를 건드리지 않고 주사할 수 있는 장비를 설계하십시오. 그들은 결국 더럽습니다.
Research/InjectionRoom_Name	주사실
Research/ItemUpgrade_Complete_Advisor	연구 프로젝트 완료!\n새로운 업그레이드 발명 : {[REWARD]}
Research/Item_Complete_Advisor	연구 프로젝트 완료!\n새로운 도구 발명 : {[REWARD]}
Research/LightHeadedMachineLevel1_CompleteMessage	우리는 '제거'민감도를 향상시키는 업그레이드를 설계했습니다. 이제 문제가 줄어들 것입니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 컴퓨터에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/LightHeadedMachineLevel1_Description	일부 치료법은 '제거'문제로 실패했으며, 더 나은 결과를 위해 더 나은 방법을 연구합니다.
Research/LightHeadedMachineLevel1_Name	업그레이드 : De-Lux Clinic
Research/LightHeadedMachineLevel2_CompleteMessage	좋은 소식이 있습니다. 시뮬레이션에서 훌륭한 결과를 얻었으므로 업데이트되고 훨씬 개선된 헤드 포 뮬레이션 프로세스를 출시할 수 있습니다.\n\n이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다. 관리인은 기계공학 자격이 있습니다.
Research/LightHeadedMachineLevel2_Description	우리는 신체의 성공률과 교체-두부 혼합 단계의 성공률을 크게 높이기 위해 개선이 이루어질 수 있다고 믿습니다.
Research/LightHeadedMachineLevel2_Name	고급 업그레이드 : De-Lux Clinic
Research/LightHeadedRoom_CompleteMessage	우리 연구원들은 현기증으로 고통받는 환자를 치료하기 위해 새로운 장비를 설계했습니다.
Research/LightHeadedRoom_Description	현기증으로 고통받는 환자를 치료하는 장비를 설계하십시오.
Research/LightHeadedRoom_Name	드럭스 클리닉
Research/MRIMachineLevel1_CompleteMessage	좋습니다. 이상하게도 장비가 60 %에서 작동하는 것으로 나타났습니다. 이 모델을 새로운 것으로 부르는 것이 좋습니다. 실제로 100 %로 되 돌리는 것은 약간 복잡하므로 아무도 알 수 없습니다… 다시는 일어나지 않을 것입니다!\n\n이제 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다. 기계공학 자격을 갖춘 관리인에 의해 각 장비.
Research/MRIMachineLevel1_Description	우리는 MEGA 스캐너의 효율성을 저해하는 비 효율성이 있다고 믿습니다. 일부 분석을 수행하면 무엇이 잘못되었는지 찾을 수 있어야합니다.
Research/MRIMachineLevel1_Name	업그레이드 : MEGA Scan
Research/MRIMachineLevel2_CompleteMessage	우리의 연구는 MEGA 스캐너의 새로운 반복을 개발했습니다. 솔직히 말해서 우리에게는 거의 너무 좋습니다. 상단 서랍.\n\n기계공학 자격을 갖춘 관리인이 이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/MRIMachineLevel2_Description	이제 우리는 장비가 최대 전력으로 실행되고 있으므로 더 나은 진단을 생성하기 위해 몇 가지 업그레이드를 개발하는 것에 대해 생각할 수 있습니다.
Research/MRIMachineLevel2_Name	고급 업그레이드 : MEGA 스캔
Research/MRIRoom_CompleteMessage	boffins가 다시 해냈습니다! 최고의 진단기. 거대한 스캐너. 그것은 아름다움의 일입니다. 강력하지만 방사선과 자격을 갖춘 의사가 필요합니다.
Research/MRIRoom_Description	X- 선의 발견으로 일부 과학자들은 Y- 선의 존재 가능성에 대해 추측했습니다. 분명히 그것은 터무니없는 일입니다. 바보. 거대한 자석을 설계하고 그것이 유용한 지 확인합시다.
Research/MRIRoom_Name	메가 스캔
Research/MiningBotcoins_CompleteMessage	우리는 그 연구를 완료했고 우리의 과학적 무결성으로 사람들에게 깊은 인상을 남겼습니다. 나는 결과를 비닝했고 우리는 약간의 Kudosh를 얻었습니다!
Research/MiningBotcoins_Description	의료계에서 Kudosh를 얻기 위해 인상적인 연구를 수행하십시오.
Research/MiningBotcoins_Name	Kudosh 생성
Research/MummyMachineLevel1_CompleteMessage	가지고 있다. 우리 연구원들은 방부 처리 액의 일부 효과를 역전시켜야하는 화학 물질을 치료 환경으로 분비하는 업그레이드를 개발했습니다.\n\n현재 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다. 기계공학에서.
Research/MummyMachineLevel1_Description	우리의 비효율적 인 치료법 중 일부는 현재 방부 처리 과정에 대응할 수 없기 때문에 발생한다고 생각합니다. 치료법을 개선하기 위한 방법을 연구해야 합니다.
Research/MummyMachineLevel1_Name	업그레이드 : 암호화
Research/MummyMachineLevel2_CompleteMessage	우리는 염분으로 인한 탈수증이 우리의 치료 성공을위한 실제 장애물이라는 것을 발견했습니다. 그래서 우리는 방부 방지 화학 물질을 보습 미스트로 전환했습니다.\n\n이제 기계공학 자격을 갖춘 관리인이 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/MummyMachineLevel2_Description	미라 화 과정의 어느 부분이 우리가 싸우는 데 가장 유용한 지 조사하십시오.
Research/MummyMachineLevel2_Name	고급 업그레이드 : 암호화
Research/MummyRoom_CompleteMessage	우리 연구원들이 새로운 장비 인 Decrypter를 발명했습니다! 조기 미이라로 고통받는 환자를 치료하는 데 사용하십시오.
Research/MummyRoom_Description	조기 미이라로 고통받는 환자의 붕대를 제거하는 장비를 설계하십시오.
Research/MummyRoom_Name	암호학
Research/PandemicMachineLevel1_CompleteMessage	좋은 소식! 후라이팬데믹 장비의 디자인을 수정했습니다.\n\n장비 분야에서 자격을 갖춘 관리인이 이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/PandemicMachineLevel1_Description	후라이팬데믹 치료에 대해 개선할 수 있는 사항을 조사하십시오.
Research/PandemicMachineLevel1_Name	업그레이드 : 후라이팬 연구소
Research/PandemicMachineLevel2_CompleteMessage	자석 실험에서 얻은 결과는 다음과 같습니다. 더 강력한 자석이 효과가 있다는 것을 발견했습니다… 더 좋습니다.\n\n기계공학 자격을 갖춘 관리인이 이제 각 장비에 적용할 수 있는 새로운 업그레이드를 잠금 해제했습니다.
Research/PandemicMachineLevel2_Description	우리 연구 부서는 실험적인 자석 사용에 대한 일부 테스트가 우리 기술을 크게 향상시킬 수 있다고 믿습니다.
Research/PandemicMachineLevel2_Name	고급 업그레이드 : 후라이팬 연구소
Research/PandemicRoom_CompleteMessage	우리 연구원들은 후라이팬데믹으로 고통받는 환자를 치료하기 위해 새로운 장비를 설계했습니다.
Research/PandemicRoom_Description	후라이팬데믹으로 고통받는 환자에게서 원하지 않는 주방 도구를 제거하는 장비를 설계하십시오.
Research/PandemicRoom_Name	후라이팬 연구소
Research/Prerequisite_CompletedResearchProjects_CS	연구 프로젝트 {[COUNT]} 개
